date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:34	16850/16850	---M--	200	added ('OK')	image/jpeg	etag:%2241d2-57bb8a5dcafd5%22	http://gramotech.com/html/ecova/images/h3footerbg.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/h3footerbg.jpg	(from http://gramotech.com/html/ecova/css/custom.css)
16:11:41	41371/41371	---M--	200	added ('OK')	image/jpeg	etag:%22a19b-57bb8a8a13823%22	http://gramotech.com/html/ecova/images/storybg.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/storybg.jpg	(from http://gramotech.com/html/ecova/css/custom.css)
16:11:42	110087/110087	---M--	200	added ('OK')	image/jpeg	etag:%221ae07-57bb8a3ad0150%22	http://gramotech.com/html/ecova/images/coreprojectbg.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/coreprojectbg.jpg	(from http://gramotech.com/html/ecova/css/custom.css)
16:11:42	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-57ca53497ac29%22	http://gramotech.com/html/ecova/css/owl.video.play.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/owl.video.play.png	(from http://gramotech.com/html/ecova/css/owl.carousel.min.css)
16:11:43	6682/6682	---M--	200	added ('OK')	image/png	etag:%221a1a-57bb8b08940d5%22	http://gramotech.com/html/ecova/images/prettyPhoto/default/sprite.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/default/sprite.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:43	1097/1097	---M--	200	added ('OK')	image/png	etag:%22449-57bb8b09389aa%22	http://gramotech.com/html/ecova/images/prettyPhoto/default/sprite_x.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/default/sprite_x.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:44	1162/1162	---M--	200	added ('OK')	image/png	etag:%2248a-57bb8b09dbb0f%22	http://gramotech.com/html/ecova/images/prettyPhoto/default/sprite_y.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/default/sprite_y.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:44	1358/1358	---M--	200	added ('OK')	image/png	etag:%2254e-57bb8b089351d%22	http://gramotech.com/html/ecova/images/prettyPhoto/default/sprite_next.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/default/sprite_next.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:45	1376/1376	---M--	200	added ('OK')	image/png	etag:%22560-57bb8b0936e52%22	http://gramotech.com/html/ecova/images/prettyPhoto/default/sprite_prev.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/default/sprite_prev.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:45	1537/1537	---M--	200	added ('OK')	image/png	etag:%22601-57bb8b07c504d%22	http://gramotech.com/html/ecova/images/prettyPhoto/default/default_thumb.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/default/default_thumb.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:46	6331/6331	---M--	200	added ('OK')	image/gif	etag:%2218bb-57bb8b07ee08f%22	http://gramotech.com/html/ecova/images/prettyPhoto/default/loader.gif	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/default/loader.gif	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:48	4099/4099	---M--	200	added ('OK')	image/png	etag:%221003-57bb8b104780f%22	http://gramotech.com/html/ecova/images/prettyPhoto/light_rounded/sprite.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/light_rounded/sprite.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:48	1411/1411	---M--	200	added ('OK')	image/png	etag:%22583-57bb8b0ec4c81%22	http://gramotech.com/html/ecova/images/prettyPhoto/light_rounded/btnNext.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/light_rounded/btnNext.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:49	1442/1442	---M--	200	added ('OK')	image/png	etag:%225a2-57bb8b0ec4c81%22	http://gramotech.com/html/ecova/images/prettyPhoto/light_rounded/btnPrevious.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/light_rounded/btnPrevious.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:49	130/130	---M--	200	added ('OK')	image/png	etag:%2282-57bb8b024644e%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/contentPattern.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/contentPattern.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:49	4076/4076	---M--	200	added ('OK')	image/png	etag:%22fec-57bb8b03158bd%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/sprite.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/sprite.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:50	1411/1411	---M--	200	added ('OK')	image/png	etag:%22583-57bb8b01a2b18%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/btnNext.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/btnNext.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:50	1442/1442	---M--	200	added ('OK')	image/png	etag:%225a2-57bb8b01a3ea0%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/btnPrevious.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/btnPrevious.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:51	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-57bb8b02e9d84%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/loader.gif	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_rounded/loader.gif	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:52	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-57bb8b0601996%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_square/loader.gif	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_square/loader.gif	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:52	3507/3507	---M--	200	added ('OK')	image/png	etag:%22db3-57bb8b0628a97%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_square/sprite.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_square/sprite.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:52	1411/1411	---M--	200	added ('OK')	image/png	etag:%22583-57bb8b04ab8e3%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_square/btnNext.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_square/btnNext.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:53	1442/1442	---M--	200	added ('OK')	image/png	etag:%225a2-57bb8b04acc6b%22	http://gramotech.com/html/ecova/images/prettyPhoto/dark_square/btnPrevious.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/dark_square/btnPrevious.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:53	3507/3507	---M--	200	added ('OK')	image/png	etag:%22db3-57bb8b12bc2bc%22	http://gramotech.com/html/ecova/images/prettyPhoto/light_square/sprite.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/light_square/sprite.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:54	1411/1411	---M--	200	added ('OK')	image/png	etag:%22583-57bb8b114430f%22	http://gramotech.com/html/ecova/images/prettyPhoto/light_square/btnNext.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/light_square/btnNext.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:54	1442/1442	---M--	200	added ('OK')	image/png	etag:%225a2-57bb8b1142b9f%22	http://gramotech.com/html/ecova/images/prettyPhoto/light_square/btnPrevious.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/light_square/btnPrevious.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:55	4227/4227	---M--	200	added ('OK')	image/png	etag:%221083-57bb8b0dcb831%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/sprite.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/sprite.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:55	142/142	---M--	200	added ('OK')	image/png	etag:%228e-57bb8b0c49474%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternTop.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternTop.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:56	137/137	---M--	200	added ('OK')	image/png	etag:%2289-57bb8b0ba342e%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternLeft.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternLeft.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:56	136/136	---M--	200	added ('OK')	image/png	etag:%2288-57bb8b0c4985c%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternRight.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternRight.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:57	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-57bb8b0cf5662%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/loader.gif	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/loader.gif	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:57	845/845	---M--	200	added ('OK')	image/png	etag:%2234d-57bb8b0afe771%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/btnNext.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/btnNext.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:58	223576/223576	---M--	200	added ('OK')	image/jpeg	etag:%2236958-57bb8a3acb330%22	http://gramotech.com/html/ecova/images/coming-soon.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/coming-soon.jpg	(from http://gramotech.com/html/ecova/css/custom.css)
16:11:58	828/828	---M--	200	added ('OK')	image/png	etag:%2233c-57bb8b0afe389%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/btnPrevious.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/btnPrevious.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:58	142/142	---M--	200	added ('OK')	image/png	etag:%228e-57bb8b0ba342e%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternBottom.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/contentPatternBottom.png	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:59	227/227	---M--	200	added ('OK')	image/gif	etag:%22e3-57bb8b0cf94e2%22	http://gramotech.com/html/ecova/images/prettyPhoto/facebook/default_thumbnail.gif	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/facebook/default_thumbnail.gif	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:11:59	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-57bb8b0f6cfef%22	http://gramotech.com/html/ecova/images/prettyPhoto/light_rounded/loader.gif	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/prettyPhoto/light_rounded/loader.gif	(from http://gramotech.com/html/ecova/css/prettyPhoto.css)
16:12:11	68240/68240	---M--	200	added ('OK')	font/woff2	etag:%2210a90-57ca4ecb479ee%22	http://gramotech.com/html/ecova/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-brands-400.woff2	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:13	123540/123540	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e294-57ca4ec7ef69a-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-brands-400.eot	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:13	123540/123540	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e294-57ca4ec7ef69a-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-brands-400d41d.eot	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:28	79752/79752	---M--	200	added ('OK')	font/woff	etag:%2213788-57ca4ecb05f24%22	http://gramotech.com/html/ecova/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-brands-400.woff	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:30	688937/688937	---MCZ	200	added ('OK')	image/svg+xml	etag:%22a8329-57ca4ec9a0088-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-brands-400.svg	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:32	123304/123304	---MCZ	200	added ('OK')	font/ttf	etag:%221e1a8-57ca4ec99ae80-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-brands-400.ttf	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:32	40576/40576	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e80-57ca4ecc477b7-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-regular-400.eot	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:32	14880/14880	---M--	200	added ('OK')	font/woff2	etag:%223a20-57ca4ecfc1235%22	http://gramotech.com/html/ecova/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-regular-400.woff2	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:35	18168/18168	---M--	200	added ('OK')	font/woff	etag:%2246f8-57ca4ecf6fd6a%22	http://gramotech.com/html/ecova/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-regular-400.woff	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:35	40576/40576	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e80-57ca4ecc477b7-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-regular-400d41d.eot	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:36	40348/40348	---M-Z	200	added ('OK')	font/ttf	etag:%229d9c-57ca4ece13b0f-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-regular-400.ttf	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:38	142267/142267	---M-Z	200	added ('OK')	image/svg+xml	etag:%2222bbb-57ca4ecd18b66-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-regular-400.svg	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:50	72000/72000	---M--	200	added ('OK')	font/woff2	etag:%2211940-57ca4ed5824b6%22	http://gramotech.com/html/ecova/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-solid-900.woff2	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:53	191332/191332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%222eb64-57ca4ed1e3c5f-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-solid-900.eot	(from http://gramotech.com/html/ecova/css/all.min.css)
16:12:54	191332/191332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%222eb64-57ca4ed1e3c5f-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-solid-900d41d.eot	(from http://gramotech.com/html/ecova/css/all.min.css)
16:13:10	92696/92696	---M--	200	added ('OK')	font/woff	etag:%2216a18-57ca4ed547364%22	http://gramotech.com/html/ecova/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-solid-900.woff	(from http://gramotech.com/html/ecova/css/all.min.css)
16:13:13	725405/725405	---MCZ	200	added ('OK')	image/svg+xml	etag:%22b119d-57ca4ed356dec-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-solid-900.svg	(from http://gramotech.com/html/ecova/css/all.min.css)
16:13:17	191112/191112	---MCZ	200	added ('OK')	font/ttf	etag:%222ea88-57ca4ed3f5131-gzip%22	http://gramotech.com/html/ecova/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/webfonts/fa-solid-900.ttf	(from http://gramotech.com/html/ecova/css/all.min.css)
16:13:45	170404/170404	---M--	200	added ('OK')	image/jpeg	etag:%22299a4-57bb8a5688166%22	http://gramotech.com/html/ecova/images/h1-slide3.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/h1-slide3.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:13:48	232566/232566	---M--	200	added ('OK')	image/jpeg	etag:%2238c76-57bb8a54e1f70%22	http://gramotech.com/html/ecova/images/h1-slide1.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/h1-slide1.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:13:51	32023/32023	---M--	200	added ('OK')	image/jpeg	etag:%227d17-57bb8a30bfa51%22	http://gramotech.com/html/ecova/images/aboutpic1.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/aboutpic1.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:13:55	42059/42059	---M--	200	added ('OK')	image/jpeg	etag:%22a44b-57bb8a32a6b59%22	http://gramotech.com/html/ecova/images/aboutpic3.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/aboutpic3.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:13:55	22987/22987	---M--	200	added ('OK')	image/jpeg	etag:%2259cb-57bb8a32cefe3%22	http://gramotech.com/html/ecova/images/aboutpic5.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/aboutpic5.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:13:55	260853/260853	---M--	200	added ('OK')	image/jpeg	etag:%223faf5-57bb8a553b523%22	http://gramotech.com/html/ecova/images/h1-slide2.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/h1-slide2.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:13:59	19401/19401	---M--	200	added ('OK')	image/jpeg	etag:%224bc9-57bb8a86a64dd%22	http://gramotech.com/html/ecova/images/serimg2.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/serimg2.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:13:59	23525/23525	---M--	200	added ('OK')	image/jpeg	etag:%225be5-57bb8a8679a03%22	http://gramotech.com/html/ecova/images/serimg1.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/serimg1.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:14:00	33945/33945	---M--	200	added ('OK')	image/jpeg	etag:%228499-57bb8a3113244%22	http://gramotech.com/html/ecova/images/aboutpic2.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/aboutpic2.jpg	(from http://gramotech.com/html/ecova/home-two.html)
16:14:05	32230/32230	---M--	200	added ('OK')	image/jpeg	etag:%227de6-57bb8a879be95%22	http://gramotech.com/html/ecova/images/serimg3.jpg	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/serimg3.jpg	(from http://gramotech.com/html/ecova/home-two.html)
